x,y,label
-14.2186,-14.6101,2
-14.6197,-14.1448,2
-4.19585,16.8077,0
9.06208,5.04512,0
-15.7974,-14.7683,2
10.1374,3.7864,0
-4.84521,18.4139,0
9.69269,3.38261,0
-5.49757,17.8429,0
-6.2097,18.6851,0
-5.6201,19.8808,0
9.63677,3.25343,0
-4.80953,16.0689,0
-6.43377,17.6079,0
-14.4099,-14.2473,2
-5.72045,17.7009,0
-15.3868,-13.7121,2
7.25462,4.13279,0
-4.92132,18.9972,0
-4.43154,20.219,0
-3.8598,17.2079,0
-5.17968,18.4326,0
10.2549,3.79928,0
-13.8716,-13.9812,2
-5.48181,17.5628,0
-13.2295,-12.3187,3
-14.336,-13.0048,3
8.46154,6.03873,0
9.26751,3.04908,0
-5.90791,17.2128,0
-6.00893,17.4623,0
-6.08929,18.511,0
-12.9289,-14.6163,1
-4.8043,16.7828,0
-15.2744,-12.3933,3
-4.79094,19.3357,0
-13.0023,-14.6824,1
9.52472,3.4394,0
-13.8663,-14.7955,2
9.62151,5.82251,0
10.5467,3.23867,0
-4.76084,17.9541,0
-14.2469,-14.1928,2
9.16522,5.18416,0
-5.05311,16.8599,0
-4.657,19.5666,0
-13.6877,-14.2379,1
8.79439,4.02821,0
-13.4217,-14.1721,1
10.8658,2.70852,0
9.35556,3.26918,0
-13.7672,-12.2803,3
-13.3927,-14.7001,1
-3.5405,17.5103,0
-12.58,-13.6927,1
9.79481,7.79907,0
-13.3648,-14.1812,1
-4.05502,18.4414,0
9.39328,4.60847,0
-5.47903,19.0857,0
-13.5236,-12.9894,3
11.4128,1.99425,0
10.1794,4.25364,0
-10.6804,-12.6406,1
-14.0082,-12.7886,3
8.38134,4.43826,0
8.56131,3.73289,0
-13.0476,-14.8849,1
-15.4626,-13.8158,2
-6.0807,18.5022,0
10.5852,3.96734,0
-12.7008,-15.519,1
-14.459,-13.5462,3
-4.54516,17.9557,0
-5.4105,16.5651,0
-13.4888,-13.8105,1
-15.8267,-13.8493,2
8.52063,4.09673,0
-5.61903,17.7369,0
10.4592,3.47716,0
-6.03123,18.3428,0
-5.09041,19.0321,0
-13.2583,-14.7378,1
-4.68713,19.0041,0
10.2302,3.36944,0
-12.9236,-14.8899,1
-12.5915,-13.5058,1
-3.15262,18.5024,0
11.0452,4.35132,0
-6.39606,17.0907,0
-15.4287,-13.2169,3
-5.05422,19.5932,0
-13.2803,-13.4266,1
-4.10299,18.3573,0
-5.54816,18.5418,0
-14.3129,-14.9581,2
-14.8269,-13.9026,2
-4.75851,18.8104,0
-14.5225,-15.5651,2
-13.3458,-11.8834,3
8.80481,3.29301,0
-4.66061,18.5894,0
9.07164,3.45334,0
-4.22736,17.1192,0
-5.85761,17.7194,0
-4.77643,16.1153,0
-4.67478,16.2655,0
-4.7679,18.375,0
11.4329,3.17899,0
-15.1578,-13.1973,3
9.96602,2.33362,0
-5.80165,17.7065,0
-5.82689,17.5268,0
-4.95087,16.6038,0
-5.03189,16.9709,0
9.47882,3.34612,0
-14.7965,-13.9506,2
7.56662,5.30021,0
-15.63,-14.1117,2
8.27374,2.73215,0
9.7991,5.47908,0
9.50385,3.95893,0
-3.6156,16.6267,0
-13.1827,-13.449,1
-13.4269,-14.5087,1
-13.8872,-14.7158,2
-13.1451,-13.0027,3
-5.69532,18.6402,0
-12.7217,-14.2702,1
-14.2895,-14.5531,2
-3.93534,19.0824,0
-6.93717,18.0021,0
-4.92663,16.041,0
-6.74331,17.4663,0
-6.49692,17.3087,0
9.78475,4.81209,0
9.02719,2.69856,0
-14.0291,-14.739,2
-5.01328,17.794,0
-14.2731,-14.8194,2
-5.48787,18.5711,0
-5.26378,17.2748,0
-11.6985,-12.0049,1
-4.93135,17.7296,0
7.76039,3.46211,0
8.56445,4.62594,0
10.0926,4.57597,0
-4.7417,18.8558,0
10.5574,3.35477,0
-5.69842,18.2608,0
-5.92642,16.6163,0
-11.7945,-13.725,1
9.56075,3.32364,0
-15.2934,-12.4825,3
-4.72227,18.2896,0
8.07946,3.61184,0
9.26124,3.65768,0
-14.2898,-14.336,2
-13.1207,-15.4217,1
-5.90225,18.1823,0
-7.63814,18.8505,0
-14.6349,-15.143,2
-12.2081,-13.6445,1
-12.558,-14.1683,1
-4.96019,16.8856,0
-12.8881,-14.0862,1
8.80872,4.17839,0
-4.95817,20.4918,0
-4.49645,18.3256,0
-4.20488,16.7977,0
-3.87557,18.7805,0
-5.93782,19.5785,0
8.44004,3.34695,0
-5.46491,18.885,0
8.29825,4.40844,0
9.30427,4.44434,0
10.1521,4.12968,0
-5.28305,20.7487,0
11.4019,4.9788,0
9.90388,4.57469,0
-13.6727,-13.9159,1
-5.56278,18.1395,0
-14.4219,-13.1896,3
10.9122,2.5162,0
9.85065,5.0819,0
-16.2309,-14.5571,2
9.60392,3.8162,0
-3.55275,17.8028,0
6.03849,2.92195,0
8.83971,4.07708,0
