x,y,label
0.0795431,0.5413,0
1.06031,-0.464424,1
-0.593605,0.775668,0
1.00937,-0.32959,1
0.833721,-0.534549,1
-0.129168,0.465738,0
0.799143,0.63485,2
0.398295,0.0804486,2
-0.085075,0.503305,0
0.848113,0.493394,2
-0.904091,-0.31547,3
-0.489463,-0.01988,3
0.546523,0.148013,2
0.344632,0.417522,2
0.321824,-0.93869,1
0.0359788,0.515557,0
0.747044,0.694963,2
0.507227,-0.0718835,2
-0.377785,0.277289,0
-0.403061,-0.302481,3
0.424212,-0.0201128,2
-0.876321,0.254897,0
0.893267,-0.447913,1
0.390349,-0.209953,1
0.943047,-0.0818809,2
0.572642,-0.0663283,2
-0.827612,0.637903,0
-0.257157,-0.42155,3
-0.179469,0.386222,0
-0.00525527,-0.518294,1
0.94924,0.430605,2
-1.03419,-0.1856,3
0.899332,-0.497951,1
0.931238,-0.0525535,2
-0.188418,-0.429551,3
-0.54275,-0.961721,3
0.445655,0.389295,2
0.965771,0.384112,2
0.287773,-0.987544,1
-0.202033,0.402582,0
0.336673,0.355838,2
1.04182,-0.0197188,2
-0.296082,-0.463988,3
-0.360077,0.969706,0
0.329271,-0.320115,1
1.01466,0.0167604,2
0.879688,-0.216522,1
-0.436051,-0.969398,3
-0.633991,0.776146,0
-1.03562,0.207554,3
0.0233725,-0.942267,1
-0.199722,-0.416185,3
1.01352,0.0492342,2
-0.426197,-0.314159,3
-0.719616,-0.664282,3
-0.357024,-0.158631,3
-0.740358,-0.596987,3
0.397753,-0.156583,1
-1.04968,-0.0380315,3
-0.96977,-0.280166,3
0.0981229,1.12804,0
-0.521285,-0.279041,3
0.0104891,0.443524,0
0.894485,0.142032,2
-0.0419104,1.01715,0
-0.371472,-0.410469,3
-0.936271,-0.357546,3
0.409668,-0.164671,1
-0.0352985,0.520435,0
-0.8255,-0.325231,3
0.476278,0.229719,2
0.506922,0.816785,2
-0.160068,-0.988343,1
-0.876267,-0.413984,3
-0.872891,-0.436182,3
-0.300588,-0.35353,3
0.311054,0.964622,2
-0.282434,0.449955,0
-0.114163,-0.439618,3
-0.825121,0.669162,0
0.172619,-0.490686,1
0.383092,0.984592,2
0.503482,0.226332,2
0.15101,-0.973947,1
0.180904,0.492645,2
-0.752007,-0.778453,3
-0.52776,-0.863671,3
-0.764754,-0.571501,3
0.162016,-0.53161,1
-0.470167,-0.169035,3
-0.487374,0.0174144,3
-0.398695,-0.280984,3
0.309215,-0.369092,1
0.21465,0.931823,2
-0.657056,-0.798455,3
0.102062,-0.998371,1
0.256314,-0.398526,1
-0.43468,-0.198248,3
-0.455469,-0.058114,3
-0.436086,0.111886,0
0.598994,0.802838,2
0.434303,0.0247691,2
0.990859,-0.198728,2
-0.473164,-0.346667,3
-0.258143,0.383532,0
-0.946107,0.462743,0
-0.6501,0.782142,0
-0.418219,-0.168595,3
0.26243,-0.469948,1
-1.06172,0.173653,3
0.449553,0.288395,2
-0.297596,0.348789,0
0.285046,-0.950339,1
0.183544,0.964359,0
-0.0521765,-0.457228,1
0.383219,-0.907805,1
-0.415866,-0.112765,3
0.569981,0.84751,2
-1.02442,0.206235,3
0.39364,-0.780874,1
-0.463501,0.232526,0
0.594191,-0.891213,1
-0.49893,-0.256623,3
0.235188,0.483763,2
-0.477811,-0.890511,3
0.861247,-0.421985,1
-0.508032,-0.959444,3
0.377756,-0.875933,1
0.218073,-0.425674,1
0.0394282,1.02442,0
-0.0781179,0.552263,0
-0.780126,-0.726827,3
0.800522,0.635912,2
0.340054,0.458534,2
-0.257023,-0.418997,3
0.431231,-0.283477,1
0.872918,0.109322,2
-0.227656,0.402669,0
-0.377614,1.052,0
0.0313017,-0.492416,1
0.92339,0.118365,2
-0.511832,-0.124844,3
-0.139399,0.443591,0
1.02717,0.0287811,2
-0.430305,-0.222199,3
-0.311993,0.387953,0
0.452697,0.315145,2
0.258747,0.957115,2
-0.12649,1.05409,0
0.955506,-0.331301,1
0.119961,0.490142,2
0.0882844,0.546766,0
0.0322043,-0.922554,1
-0.200658,-0.517794,3
0.481163,0.118165,2
-0.361473,0.314768,0
0.510031,0.196146,2
0.939816,0.00909407,2
0.366374,0.438994,2
0.71455,-0.749485,1
1.05204,0.0714626,2
0.603274,-0.828468,1
-0.526011,0.0214463,3
0.619246,0.769051,2
-0.845649,0.507917,0
1.02832,0.15741,2
0.398216,-0.273916,1
0.0854943,-0.490195,1
-0.358946,-0.2783,3
-0.87089,0.307089,0
0.291157,0.900311,2
0.407074,-0.335651,1
-0.517516,0.273764,0
-0.300058,0.382408,0
0.914238,0.376104,2
1.00997,0.391806,2
-1.07598,-0.159211,3
0.153787,-0.537508,1
0.845192,-0.490445,1
0.174969,0.476475,2
-0.250551,-0.37807,3
-0.734411,-0.737883,3
0.362466,0.336092,2
0.275355,-0.954717,1
0.395553,0.31802,2
-0.429223,-0.26829,3
0.676609,0.609635,2
-0.442312,0.0820377,3
-1.03966,0.0241555,3
0.599718,0.788681,2
-0.271867,-0.470636,3
-0.893965,-0.47903,3
0.69125,-0.826625,1
-0.802499,-0.498929,3
-0.451394,-0.389851,3
0.829475,-0.519763,1
0.0746663,1.00632,0
-0.734195,-0.723589,3
0.303382,0.958343,2
0.155098,-1.08383,1
0.550445,0.111807,2
0.0626554,-0.446531,1
1.04144,0.355757,2
0.0553944,-0.975593,1
0.254234,-0.419684,1
0.825754,0.53516,2
-0.434959,-0.226367,3
0.821367,0.627799,2
-0.312221,-0.374247,3
0.981913,0.376134,2
-0.584157,-0.805581,3
-0.390518,-0.29901,3
-0.432147,0.0621149,3
0.517797,-0.139914,1
0.416206,0.158168,2
-0.443618,-0.286328,3
-0.193712,0.395981,0
-0.313796,0.448371,0
-0.519356,-0.0876425,3
-0.923141,-0.285602,3
-0.476573,-0.226054,3
0.0145971,0.542254,0
-0.34596,-0.427577,3
-0.00692144,1.06967,0
0.274498,-0.313747,1
0.53156,-0.930981,1
-0.42759,-0.263409,3
-0.403948,0.0106072,3
-0.527702,-0.987665,3
0.5003,0.140661,2
0.433622,0.994171,2
0.875996,0.467956,2
0.301212,0.431713,2
-0.259156,0.499816,0
0.699413,-0.766797,1
0.411046,0.0380445,2
0.182362,0.973283,0
-0.97059,-0.260909,3
-0.193193,0.511386,0
-0.0798535,-0.538201,1
-0.423927,-0.233186,3
-0.394792,-0.950119,3
0.972159,0.129108,2
0.820167,-0.430111,1
-0.151656,1.0509,0
-0.309346,0.894027,0
-0.0330704,0.43622,0
-0.765609,-0.608715,3
-0.891791,-0.530946,3
0.917543,-0.244571,1
-0.445427,-0.19835,3
1.03278,0.0353129,2
0.409343,-0.292644,1
-0.16086,0.373198,0
0.69062,-0.662256,1
-0.56402,-0.153488,3
0.0860884,-0.982729,1
0.605068,-0.156044,1
0.745147,-0.755633,1
-0.405744,-0.908354,3
1.0856,-0.342101,1
-0.498574,0.207421,0
0.272961,-0.446705,1
-0.936545,0.172966,3
0.126663,1.00316,0
0.248637,0.291208,2
-0.321126,-0.364032,3
0.990698,0.0078015,2
-0.114752,-1.0044,1
-0.337299,0.894207,0
0.499521,-0.854526,1
0.274995,-0.499636,1
0.374802,-0.367373,1
-0.198508,-0.612005,3
0.502276,0.854881,2
0.261091,0.436104,2
-0.49702,-0.0801699,3
-0.366243,0.836723,0
-0.483868,0.0109184,3
0.426999,0.222849,2
-0.500501,0.208185,0
1.09182,0.152263,2
-0.0579053,-0.517381,1
0.410344,-0.100785,1
0.433814,-0.286796,1
-0.255574,0.364671,0
-0.385217,-0.923417,3
-0.899811,0.409615,0
-0.938893,-0.387798,3
0.736484,-0.629658,1
0.322634,0.366992,2
-0.415814,0.170736,0
-0.17899,-0.402194,3
-0.996096,0.40342,0
-0.517214,-0.287227,3
-0.208978,0.506631,0
-0.536112,-0.0693617,3
0.0829973,0.509875,0
-0.244831,1.05677,0
-0.479466,-0.101041,3
-0.480031,0.193745,0
-0.145555,1.02543,0
-0.314068,0.360086,0
-0.458216,-0.911896,3
0.970348,0.143326,2
0.394936,0.381073,2
-0.139011,-0.594281,3
-0.295289,0.411785,0
0.16814,1.02185,0
0.337682,0.356395,2
0.329925,-0.397247,1
-0.403643,-0.248112,3
-0.0949231,-0.462465,1
-0.287953,0.524689,0
0.726334,0.719026,2
-0.330634,0.381968,0
1.01297,-0.262789,1
-0.21811,0.466885,0
-0.465447,-0.02155,3
0.309256,0.451364,2
-0.509233,-0.0471899,3
0.528564,-0.745549,1
0.206893,0.430561,2
-0.141976,-0.441696,3
-0.142864,0.549313,0
-0.306342,0.319644,0
0.502398,-0.908617,1
-0.473613,-0.235445,3
-0.44337,-0.163743,3
0.972854,-0.371012,1
-0.515024,0.838985,0
0.490506,-0.916309,1
-0.455166,0.869604,0
-0.807891,0.471154,0
-0.131964,-0.392153,3
0.922543,-0.539874,1
0.324171,-0.939087,1
-0.420472,-0.0479092,3
0.118933,0.482602,2
0.956163,-0.153943,2
0.434738,-0.0143725,2
-0.342773,-0.399159,3
0.972905,-0.344463,1
-0.424105,-0.0575621,3
-0.364975,-0.381176,3
-0.402658,0.93657,0
0.984358,-0.287609,1
-0.427621,-0.362346,3
-0.31175,0.36889,0
0.166819,0.457076,2
-0.480298,-0.160305,3
-0.199976,-1.00766,1
0.929655,0.442025,2
-0.56555,0.796636,0
-0.0494063,-0.515323,1
1.03041,-0.126569,2
0.391518,0.286729,2
0.240666,-0.891717,1
0.147026,-0.500732,1
-0.972735,0.265274,0
-0.335301,-0.864608,3
0.468045,0.260174,2
0.910507,-0.132916,2
-0.492854,0.0390256,3
0.401963,0.265805,2
-0.445295,0.0282286,3
-0.562364,0.0200567,3
0.160691,-0.422772,1
0.982316,-0.0921223,2
-0.790346,0.652776,0
-1.05977,-0.306654,3
-0.482906,0.0763006,3
-0.866241,-0.505333,3
0.105196,1.01505,0
-0.833374,-0.552715,3
-0.361783,-0.377352,3
-0.528146,0.0151931,3
-0.329823,-0.930784,3
0.510612,0.786405,2
-0.37662,0.879389,0
0.0309683,0.476036,0
0.052233,0.463827,0
-0.912331,0.0903694,3
-0.431989,-0.81908,3
-0.0148221,0.954125,0
-0.352647,0.445656,0
0.025235,-0.46619,1
0.119458,-0.981547,1
0.741654,-0.66161,1
-0.234255,-0.994836,3
-0.209287,0.454813,0
-0.246128,-0.426653,3
-0.928992,0.393959,0
-0.585168,-0.859986,3
0.451248,0.144793,2
0.119454,0.45876,2
0.11072,0.443426,2
-0.781694,0.477606,0
-0.417874,1.00138,0
0.946752,0.0874532,2
-0.990412,-0.210594,3
-0.345761,0.261446,0
0.0127062,-0.455415,1
0.0295025,-0.534207,1
0.960793,-0.243922,1
0.153145,0.946241,0
0.826427,-0.0380748,2
-0.409023,0.126708,0
-0.908972,-0.341922,3
0.912588,0.474194,2
-0.516403,0.204164,0
0.640852,-0.694126,1
-0.704665,-0.634825,3
-0.482826,0.196055,0
0.510959,-0.023753,2
0.0651952,-0.448321,1
1.01761,0.308618,2
0.67487,-0.785295,1
0.107616,-0.474391,1
-0.182914,-0.457521,3
0.307274,0.308877,2
-0.331459,0.934644,0
0.59802,-0.82723,1
-0.474927,0.072417,3
0.441526,-0.184245,1
-0.289126,-0.478163,3
-0.407097,-0.0379766,3
0.84125,0.533777,2
0.269143,-0.34772,1
0.356577,-0.398599,1
-0.724057,-0.731748,3
0.816514,-0.483998,1
0.870896,0.395648,2
0.443776,-0.831548,1
-0.300223,-0.35543,3
0.886739,-0.4932,1
0.192281,0.484121,2
-1.00197,-0.153895,3
0.274105,1.00951,2
0.187843,0.505413,2
0.548002,0.0976367,2
-0.0844017,0.493448,0
0.569508,-0.176952,1
-0.485692,0.964862,0
0.570743,0.734469,2
0.376393,0.239296,2
0.262902,0.361766,2
0.533308,0.0107587,2
0.699399,0.830771,2
-0.330475,-0.909323,3
0.785748,0.65275,2
0.224909,-0.399101,1
-0.856509,-0.540255,3
-0.501945,-0.28944,3
-0.402618,0.984153,0
1.03499,0.104076,2
-0.824375,-0.545311,3
-0.451752,0.196149,0
0.893213,0.365456,2
0.995656,0.0907997,2
-0.259219,0.441294,0
-0.121682,-0.519242,3
0.0183856,1.06803,0
-0.364383,-0.172901,3
-0.32024,-0.348688,3
0.0853294,-0.44197,1
-0.206514,-0.543018,3
-0.677929,0.773262,0
-0.279954,-0.984653,3
0.794683,0.580926,2
-1.00804,0.395869,0
0.829769,0.449585,2
0.370971,0.237049,2
-0.221158,-0.401742,3
-0.256556,0.971721,0
0.507147,0.0817827,2
-0.279063,0.379183,0
0.00509322,-0.539145,1
1.05059,-0.0499807,2
0.0594894,0.523231,0
-0.945179,-0.214572,3
1.04708,0.0625927,2
-0.86043,0.35891,0
0.959367,-0.270166,1
0.425231,0.878634,2
-0.483418,0.267049,0
0.225855,0.451681,2
0.659525,0.644524,2
0.880103,0.345369,2
-0.715614,0.622354,0
0.678594,0.771959,2
0.157411,-0.45472,1
-0.302142,-0.451895,3
0.457693,-0.136185,1
-0.474215,0.832324,0
0.402462,0.099952,2
-0.517318,0.159312,0
-0.926806,-0.030335,3
-0.974073,0.365972,0
-0.296319,0.303882,0
-0.269893,0.508803,0
0.0405609,0.503966,0
-0.426955,0.23703,0
-0.421727,-0.0417346,3
0.163285,0.967281,0
0.887,0.59761,2
-0.0358313,0.509048,0
0.513443,0.03131,2
1.03728,0.141913,2
-0.600893,0.801553,0
-0.427021,-0.888267,3
-0.87164,-0.480453,3
-0.333588,-0.469403,3
-0.459087,-0.0555029,3
0.117196,0.487072,2
0.863494,-0.551271,1
0.476227,0.0221139,2
0.384224,0.120865,2
0.339399,-0.926176,1
-0.404028,0.290111,0
-0.260293,0.320644,0
0.435187,0.0930823,2
0.760677,0.575995,2
0.959311,-0.196899,2
0.387555,-0.904156,1
0.312092,-0.894195,1
-0.611448,-0.806827,3
-0.357761,0.289735,0
0.90609,0.373108,2
1.08111,-0.0549598,2
-0.779702,-0.617197,3
-0.371538,-0.125409,3
-0.423547,0.864873,0
0.477937,-0.102376,1
-0.23162,-1.07207,3
0.221107,-0.459774,1
-0.392183,-0.297023,3
0.741101,0.75629,2
0.648852,0.740301,2
0.227676,-0.394778,1
-0.376964,-0.277019,3
-0.0365272,-1.0401,1
0.119274,-0.591182,1
0.517208,0.0383495,2
-0.423536,-0.229131,3
0.359753,-0.292376,1
0.546759,-0.804079,1
0.0375686,-0.455978,1
-0.0940042,-0.590851,1
-0.527237,0.866318,0
-1.09144,-0.109666,3
-0.230623,-0.40351,3
-0.886427,0.176096,3
0.469433,-0.854336,1
0.000126165,-0.633368,1
-0.44077,0.299019,0
0.477515,0.176119,2
0.0196521,-0.55133,1
-0.0467798,-0.573734,1
0.932207,-0.284905,1
0.499633,-0.082136,2
-0.505245,0.230843,0
-0.82695,-0.506353,3
0.480593,-0.0341348,2
0.456884,0.0193238,2
-0.928006,0.561466,0
0.666317,-0.648403,1
0.200083,0.312707,2
-0.841819,0.353349,0
1.01446,0.239077,2
1.01791,-0.0348698,2
-0.318083,-0.326461,3
0.201675,-0.530196,1
1.05154,-0.276436,1
0.139889,-0.451288,1
-0.417926,-0.101305,3
0.494953,-0.103858,1
0.295729,-0.362382,1
0.0626184,0.518021,0
0.350761,-0.213893,1
-0.0808735,0.469251,0
-0.496233,-0.855121,3
-0.507498,-0.0678495,3
-0.812838,-0.655036,3
-0.215982,0.961949,0
0.794238,-0.612434,1
0.441272,0.25242,2
0.479949,0.13685,2
0.811125,-0.496226,1
-0.558285,0.842184,0
-0.634159,0.834375,0
-0.211678,0.462534,0
-0.29913,0.410096,0
0.563961,-0.121899,1
0.548094,-0.910202,1
0.36887,-0.354825,1
0.451799,0.0354554,2
0.964788,0.00740321,2
-0.652744,0.720971,0
0.774422,0.691141,2
0.907428,0.397499,2
-0.416942,0.403038,0
0.461886,-0.174447,1
-1.03283,0.0318109,3
-0.38036,-0.886586,3
0.828062,0.482814,2
-0.808317,-0.612559,3
-0.483377,0.140922,0
0.393879,-0.325467,1
-0.445819,-0.198267,3
-0.300125,0.510456,0
-1.18392,-0.0389502,3
1.00979,0.133709,2
-0.164065,-1.00317,1
-0.144225,0.930835,0
-0.0101114,0.547149,0
0.989556,-0.255404,1
0.957713,-0.400588,1
0.348911,0.325681,2
-0.198178,0.958965,0
0.415293,-0.910291,1
0.640924,0.787706,2
-0.426642,-0.370888,3
0.350534,-0.859094,1
0.723698,0.624351,2
0.00787525,-0.6139,1
-0.694838,-0.647763,3
-0.763934,-0.65984,3
0.109201,-0.931091,1
0.347836,0.366629,2
-0.953119,0.446082,0
-0.875553,0.342127,0
-0.430936,0.257875,0
-0.712271,-0.688811,3
0.259549,-0.401776,1
0.188224,-0.282769,1
-0.937272,-0.332369,3
0.572982,0.0688632,2
0.244683,0.385428,2
-0.537586,0.797387,0
0.974068,0.352291,2
0.530855,0.116211,2
-0.296387,-0.480577,3
0.283289,-0.902065,1
0.529653,0.853858,2
-0.527885,0.182493,0
-0.17,-0.483611,3
-0.575893,-0.771746,3
0.668006,-0.772965,1
0.634273,-0.738102,1
0.863451,0.367874,2
-0.4008,-0.287613,3
-0.681789,0.855471,0
-1.10048,0.0357734,3
0.471068,-0.12726,1
0.428562,-0.260292,1
0.268353,0.981295,2
-0.2711,-0.423842,3
-0.500513,0.0478868,3
0.210619,0.986355,2
0.995249,0.145588,2
0.268584,0.419649,2
-0.203545,0.984209,0
-0.488921,0.980224,0
0.524001,0.189448,2
0.0865695,0.97734,0
-0.371624,0.184743,0
-0.397346,0.910142,0
0.221797,0.957263,2
0.111774,0.468575,2
0.0180459,-0.532035,1
-0.196934,-0.464658,3
-0.504987,-0.22551,3
0.0179743,0.511091,0
-0.0437495,-0.517687,1
0.0424793,-0.463513,1
-0.598895,0.865199,0
1.00168,-0.359918,1
-0.414825,-0.954915,3
-0.111036,-0.984909,1
-0.484611,0.885538,0
0.932275,0.0168806,2
0.189674,0.376846,2
-0.115691,0.552411,0
0.377518,-0.92568,1
0.012694,-0.544132,1
0.195614,0.536446,2
0.687473,0.616585,2
0.285402,-0.398249,1
-0.529402,0.724111,0
-0.0809499,-0.521418,1
1.01713,-0.0807161,2
-0.574337,0.950922,0
-0.359211,-0.202964,3
0.523818,-0.221244,1
-0.94561,-0.33289,3
0.386646,0.280991,2
-0.232571,-0.93928,3
0.025509,-0.373795,1
0.062229,0.976466,0
-0.166489,0.442419,0
0.202258,-0.416781,1
-0.46218,-0.0627462,3
-0.262646,-0.432005,3
0.907754,-0.463225,1
0.28296,-0.500376,1
-0.156824,0.488885,0
0.206945,0.434645,2
0.0764379,1.05137,0
-0.523677,0.0933219,3
-0.190378,-0.520153,3
0.337444,0.936723,2
-0.61999,0.0518514,3
1.08444,0.077787,2
-0.510432,-0.064282,3
-0.582487,-0.172136,3
0.754272,-0.543625,1
-0.0800498,0.531887,0
-0.510565,-0.167693,3
0.387275,-0.316374,1
-0.349927,-0.337737,3
-0.35856,0.226148,0
0.353616,0.436957,2
0.769671,0.642147,2
0.504452,-0.112183,1
0.476478,-0.922081,1
-0.486207,-0.178137,3
0.498119,-0.913178,1
-0.677027,-0.672114,3
0.959963,-0.136231,2
0.508478,0.00269781,2
-0.460175,0.0511678,3
-0.687814,0.823341,0
0.277374,-0.3685,1
1.00797,-0.116255,2
-0.970251,0.24229,0
-0.0515948,1.00818,0
-0.94915,-0.385136,3
-0.00258232,-0.991136,1
-0.338206,-0.412274,3
0.186797,0.447525,2
0.725177,0.707712,2
0.982981,0.127148,2
-1.07877,-0.130395,3
-0.735948,0.654134,0
-0.863223,0.506284,0
0.584,-0.0270086,2
-0.579809,-0.850101,3
-0.86246,-0.703256,3
0.0246081,-0.47157,1
