x,y,label
-5.03741,17.7072,0
-4.68713,18.9464,0
-6.12473,20.4918,0
-4.50336,19.061,0
-5.56278,19.1273,0
-6.61282,18.0021,0
-4.4475,18.3697,0
-6.73153,17.5443,0
-4.95817,16.8077,0
-4.72227,17.4623,0
-4.06439,18.375,0
-2.82859,16.8599,0
-4.20553,18.1395,0
-2.70374,18.7082,0
-4.97282,20.219,0
-7.63814,16.7828,0
-5.26378,18.3428,0
-3.38598,19.0857,0
-4.10299,18.8782,0
-4.32825,16.8324,0
-4.39273,17.2263,0
-3.5405,17.3752,0
-6.43377,18.3256,0
-4.20587,18.6169,0
-4.7417,18.2723,0
-5.9999,18.2254,0
-4.66061,18.3301,0
-4.69568,19.5613,0
-5.0955,18.6582,0
-5.73684,18.9878,0
-5.49334,18.8032,0
-5.77753,17.5251,0
-5.48181,18.7875,0
-6.74331,18.0496,0
-5.85761,17.3514,0
-5.22652,18.5418,0
-6.39606,18.2031,0
-4.92132,17.7944,0
-4.79094,18.511,0
-5.50376,17.377,0
-3.56725,19.8808,0
-5.45844,18.885,0
-3.75148,17.1313,0
-4.77643,17.2079,0
-6.00893,16.7808,0
-4.80953,18.6569,0
-5.60776,19.5516,0
-2.88536,18.4043,0
-5.84739,18.5022,0
-5.90791,18.796,0
-4.57458,17.2748,0
-4.69431,19.5932,0
-5.83662,18.0412,0
-6.46648,19.0321,0
-4.16074,17.8429,0
-4.7943,17.7399,0
-3.57712,18.2606,0
-6.62588,19.1175,0
-5.48787,17.5028,0
-7.14229,17.8984,0
-5.05311,16.6163,0
-5.03189,19.9047,0
-5.28305,17.5216,0
-4.33214,20.121,0
-5.01328,17.8151,0
-4.60546,16.1153,0
-5.61903,18.6907,0
-4.4713,19.2664,0
-4.72532,18.0388,0
-6.53777,17.9541,0
-4.76084,17.7369,0
-3.83896,16.1613,0
-5.99308,18.2119,0
-4.8043,18.5424,0
-5.25255,18.245,0
-5.03064,17.9557,0
-5.46491,16.5651,0
-5.00539,17.5103,0
-6.25535,16.0765,0
-5.33366,18.5266,0
-5.69842,19.5039,0
-3.85523,18.6402,0
-3.87557,18.1459,0
-4.33644,17.4292,0
-5.24186,18.9599,0
-3.74073,16.7977,0
-2.87445,19.0824,0
-3.8598,17.8815,0
-5.21076,18.3857,0
-5.23807,16.8856,0
-4.95412,19.4821,0
-4.96019,16.5927,0
-5.01315,17.3087,0
-5.17018,17.3835,0
-4.19634,17.9138,0
-4.92072,18.4336,0
-4.19298,17.5356,0
-6.56906,18.68,0
-6.27928,16.9709,0
-4.50335,17.2013,0
-5.7337,18.3359,0
-5.54816,19.3357,0
-4.43154,16.0689,0
-4.19585,16.5984,0
-5.6201,18.8943,0
-5.81092,18.0971,0
-4.14607,16.6038,0
-4.95087,17.8264,0
-7.04354,18.5894,0
-6.16939,18.6389,0
-3.55275,18.7426,0
-4.7374,17.0907,0
-6.03123,18.4414,0
-4.69423,17.2128,0
-5.92642,18.1593,0
-5.82689,17.437,0
-5.86519,16.9508,0
-5.23608,19.3848,0
-4.99389,18.1104,0
-5.4105,18.6237,0
-8.25966,20.7487,0
-4.81934,17.4684,0
-5.17968,17.4059,0
-5.05422,17.4292,0
-5.68018,17.7918,0
-6.02441,17.3209,0
-5.49033,17.5268,0
-3.43918,18.6851,0
-4.77343,18.0756,0
-6.49692,17.1192,0
-4.06797,18.5711,0
-3.93534,17.4517,0
-2.86521,17.6435,0
-5.13294,17.2612,0
-3.71292,18.1999,0
-3.6156,18.4139,0
-5.13404,16.6211,0
-3.43238,17.8686,0
-4.94259,18.5205,0
-5.0393,18.2608,0
-5.91681,19.1641,0
-4.7679,17.026,0
-5.09041,19.3824,0
-5.90225,17.7009,0
-4.91874,17.969,0
-6.2097,17.5594,0
-4.27993,18.8505,0
-4.93135,17.7183,0
-5.36111,18.4326,0
-6.21869,19.5666,0
-4.51341,18.4907,0
-3.9874,18.179,0
-5.94533,18.2896,0
-5.49757,17.5628,0
-4.2711,17.2556,0
-4.37071,16.5137,0
-5.93782,16.2655,0
-6.08929,18.5024,0
-4.84521,18.4303,0
-4.39428,16.7908,0
-5.47903,17.794,0
-4.04328,16.4159,0
-4.75851,17.6274,0
-5.48943,17.7065,0
-3.25294,19.86,0
-6.0807,17.7275,0
-2.89624,18.8558,0
-4.70749,18.1823,0
-5.85812,17.8028,0
-4.94859,16.041,0
-6.33863,17.6941,0
-5.84062,18.8202,0
-4.49645,16.8144,0
-4.67664,17.7296,0
-4.92663,18.8104,0
-4.20488,17.4284,0
-5.79122,17.1714,0
-5.69532,21.8813,0
-4.90488,19.0041,0
-4.657,17.7194,0
-5.80165,17.6433,0
-3.86028,18.8157,0
-5.12716,18.9972,0
-4.22736,17.4648,0
-5.03691,18.215,0
-6.34658,17.3357,0
-3.15262,17.0042,0
-5.74876,19.5785,0
-4.49905,18.8421,0
-5.84389,16.7081,0
-3.13221,18.6625,0
-4.54516,18.2132,0
-5.72045,16.6267,0
-4.66138,18.881,0
-6.93717,17.3142,0
-4.65676,17.6079,0
-4.9214,17.4663,0
-4.1188,18.7805,0
-4.67478,18.3573,0
-5.27096,17.2203,0
-4.05502,19.9254,0
